State,Biden,Trump,Biden_Margin,Outcome
MN,50,41,9,1
--,49,39,10,1
OR,51,39,12,1
--,51,42,9,1
IN,30,53,-23,0
PA,51,44,7,1
--,51,44,7,1
FL,48,46,2,1
AZ,48,47,1,1
MI,50,43,7,1
PA,49,46,3,1
WI,50,45,5,1
NC,48,48,0,1
IA,45,47,-2,0
GA,47,46,1,1
CO,50,40,10,1
ME,54,40,14,1
MT,43,50,-7,0
--,48,43,5,1
--,49,40,9,1
OK,35,60,-25,0
MN,49,40,9,1
--,54,46,8,1
FL,50,47,3,1
WI,47,43,4,1
--,49,41,8,1
--,52,43,9,1
--,52,40,12,1
PA,53,44,9,1
TX,46,46,0,1
PA,50,45,5,1
OH,45,50,-5,0
NC,48,47,1,1
MN,49,44,5,1
MI,52,42,10,1
GA,46,48,-2,0
FL,50,45,5,1
CO,49,43,6,1
AZ,49,46,3,1
--,49,43,6,1
WI,50,44,6,1
PA,50,46,4,1
NC,49,47,2,1
MI,49,43,6,1
FL,49,46,3,1
AZ,49,45,4,1
MI,47,42,5,1
WI,50,41,9,1
AZ,48,43,5,1
PA,48,43,5,1
NC,43,44,-1,0
MI,51,40,11,1
FL,47,44,3,1
FL,51,46,5,1
TX,47,48,-1,0
FL,48,48,0,1
MO,44,49,-5,0
PA,44,42,2,1
WI,51,43,8,1
ID,34,60,-26,0
CA,56,39,17,1
--,52,42,10,1
--,50,44,6,1
WI,50,44,6,1
--,52,42,10,1
TX,49,48,1,1
NM,54,39,15,1
--,50,37,13,1
MN,52,44,8,1
--,53,43,10,1
PA,51,45,6,1
WI,52,44,8,1
MI,52,41,11,1
FL,46,49,-3,0
TX,48,45,3,1
--,52,43,9,1
PA,52,44,8,1
FL,48,45,3,1
NC,48,46,2,1
MN,48,45,3,1
WI,50,42,8,1
NC,50,46,4,1
AZ,49,40,9,1
--,51,43,8,1
--,52,42,10,1
WI,53,40,13,1
FL,50,43,7,1
--,49,41,8,1
PA,49,46,3,1
--,47,40,7,1
--,50,43,7,1
--,49,41,8,1
--,56,41,15,1
--,51,40,11,1
--,49,41,8,1
NC,47,49,-2,0
MI,48,44,4,1
MT,44,48,-4,0
NV,44,39,5,1
GA,41,48,-7,0
FL,49,47,2,1
PA,49,45,4,1
NC,49,47,2,1
OH,45,50,-5,0
MN,50,43,7,1
TX,47,48,-1,0
CO,51,41,10,1
WI,52,43,9,1
MI,52,42,10,1
GA,49,46,3,1
AZ,52,42,10,1
FL,50,45,5,1
PA,50,44,6,1
NC,49,46,3,1
OH,45,49,-4,0
MN,50,42,8,1
TX,46,47,-1,0
CO,51,41,10,1
MI,50,44,6,1
GA,46,47,-1,0
AZ,45,47,-2,0
--,51,43,8,1
--,49,43,6,1
PA,50,42,8,1
GA,47,46,1,1
MO,41,52,-11,0
PA,52,43,9,1
--,53,41,12,1
--,47,41,6,1
--,50,44,6,1
--,49,39,10,1
MI,45,47,-2,0
--,54,41,13,1
PA,49,42,7,1
VA,53,39,14,1
--,50,41,9,1
--,47,40,7,1
WI,49,44,5,1
PA,49,46,3,1
NC,48,47,1,1
MI,50,44,6,1
FL,49,46,3,1
AZ,49,47,2,1
--,51,43,8,1
WI,45,46,-1,0
DE,58,37,21,1
FL,48,44,4,1
NY,63,32,31,1
--,52,42,10,1
NC,49,46,3,1
TX,48,47,1,1
LA,38,54,-16,0
--,50,39,11,1
OH,47,46,1,1
--,52,40,12,1
--,52,42,10,1
--,49,39,10,1
WI,49,39,10,1
MI,50,38,12,1
AZ,47,38,9,1
PA,48,41,7,1
NC,44,46,-2,0
FL,49,41,8,1
WI,51,45,6,1
PA,51,44,7,1
OH,47,47,0,1
MI,49,46,3,1
NH,51,43,8,1
PA,49,45,4,1
--,51,38,13,1
TX,47,45,2,1
--,50,41,9,1
NJ,52,33,19,1
MN,47,47,0,1
--,48,40,8,1
LA,43,50,-7,0
--,50,40,10,1
WI,49,43,6,1
--,51,43,8,1
--,48,41,7,1
--,50,41,9,1
GA,45,47,-2,0
TX,41,48,-7,0
--,54,44,10,1
--,53,41,12,1
--,50,46,4,1
NC,47,47,0,1
--,52,42,10,1
--,50,41,9,1
CT,52,32,20,1
CA,61,25,36,1
--,52,40,12,1
--,53,42,11,1
--,52,42,10,1
MA,61,28,33,1
--,49,42,7,1
--,47,39,8,1
CA,56,28,28,1
NC,45,44,1,1
MS,43,53,-10,0
--,53,45,8,1
--,47,38,9,1
KS,41,48,-7,0
--,51,45,6,1
MA,63,27,36,1
WI,47,43,4,1
PA,48,44,4,1
NC,47,48,-1,0
MI,48,43,5,1
FL,50,44,6,1
AZ,45,44,1,1
--,50,44,6,1
--,49,39,10,1
--,51,41,10,1
ME,44,36,8,1
WI,49,44,5,1
GA,46,44,2,1
AZ,45,48,-3,0
--,45,37,8,1
ME,50,39,11,1
--,51,43,8,1
--,50,42,8,1
AZ,49,45,4,1
WI,49,43,6,1
PA,50,41,9,1
MI,47,43,4,1
WI,48,42,6,1
PA,49,43,6,1
TX,43,49,-6,0
KS,43,50,-7,0
--,48,38,10,1
MI,51,40,11,1
UT,31,50,-19,0
IA,40,41,-1,0
SC,42,47,-5,0
ME,52,37,15,1
KY,41,50,-9,0
NC,46,44,2,1
ME,49,42,7,1
IA,42,44,-2,0
AZ,45,43,2,1
WI,53,42,11,1
MN,54,36,18,1
MI,51,41,10,1
IA,49,43,6,1
OK,36,56,-20,0
IN,38,55,-17,0
--,56,44,12,1
IA,47,48,-1,0
--,49,40,9,1
HI,56,29,27,1
WI,52,38,14,1
PA,51,45,6,1
MI,53,41,12,1
TX,47,46,1,1
SC,44,49,-5,0
KY,35,58,-23,0
AL,36,58,-22,0
CA,67,28,39,1
MI,49,43,6,1
--,48,41,7,1
WI,51,42,9,1
OH,46,42,4,1
--,51,42,9,1
GA,46,45,1,1
NC,48,44,4,1
--,49,40,9,1
--,52,42,10,1
MN,52,42,10,1
--,48,41,7,1
NH,53,40,13,1
VA,50,39,11,1
NH,52,39,13,1
NH,44,46,-2,0
PA,50,41,9,1
NC,47,48,-1,0
WI,45,35,10,1
MI,49,37,12,1
FL,50,46,4,1
AZ,46,38,8,1
PA,48,41,7,1
FL,48,41,7,1
NC,43,42,1,1
--,48,40,8,1
WI,48,43,5,1
PA,48,46,2,1
NC,49,46,3,1
MI,46,42,4,1
FL,48,45,3,1
AZ,47,45,2,1
--,51,42,9,1
--,47,38,9,1
--,49,40,9,1
GA,47,48,-1,0
WA,62,28,34,1
ME,50,38,12,1
WI,50,43,7,1
VA,52,41,11,1
TX,47,45,2,1
